name,link,price,image
Букет Венеция,/catalog/bukety/buket-venetsiya/,от 5 000 ₽,/upload/iblock/545/69q4dlt9zuoqyb4wvrjbc1n3dgx71m1k.jpg
Букет гигант Флер,/catalog/bukety/buket-fler/,от 3 450 ₽,/upload/iblock/db6/m7s6i3vzs2uk0juzpgbycuqbniikd5r8.webp
Букет Бирюза,/catalog/bukety/buket-biryuza/,от 2 250 ₽,/upload/iblock/af9/ctk6rl31meyskglf4eah8bv70nj0iaq7.webp
Букет Фурия,/catalog/bukety/buket-furiya/,от 3 500 ₽,/upload/iblock/a98/0tggg9wrinepjlfzykpcsy0y0zjor2jm.jpg
Букет Маджестик,/catalog/bukety/buket-madzhestik/,от 3 450 ₽,/upload/iblock/48e/mp3rlta2b9sdpvtit9mdzd581k8wqwql.webp
Букет из роз Дроп,/catalog/bukety/buket-iz-roz-drop/,от 2 950 ₽,/upload/iblock/49a/f08cdp88w4fptvi32tgshberdf7q3nq8.webp
Букет Капля,/catalog/bukety/buket-kaplya/,от 2 950 ₽,/upload/iblock/0ba/3az6efft7g26dutic7ckyfnjg0m4uc63.webp
Букет Фламенко,/catalog/bukety/buket-flamenko/,от 10 500 ₽,/upload/iblock/0fe/zt14gd678aefrx4d4it9985ntfbvans6.png
"Букет ""Маджента""",/catalog/bukety/buket-/,от 7 950 ₽,/upload/iblock/2c1/tz68l4mcfb6pu3zb01van12uemkuhk39.jpg
"Авторский букет ""Мента""",/catalog/bukety/avtorskiy-buket-menta/,от 6 000 ₽,/upload/iblock/74f/0j5p76osde94h1o9yt721263f6bli1qa.jpg
"Букет ""Бигоуди""",/catalog/bukety/buket-bigoudi/,от 3 350 ₽,/upload/iblock/e21/pv0bepkwvs70r84krkb0wbzeq074qc2r.jpg
"Букет ""Майорка""",/catalog/bukety/buket-mayorka/,от 6 500 ₽,/upload/iblock/eb6/zf14fhcl7bpq7fyi42tluroeufbyxgow.jpg
"Букет ""Зыбучие пески""",/catalog/bukety/buket-zybuchie-peski/,от 4 250 ₽,/upload/iblock/fc5/qyibi3slnb5bog3lx1kdg8x822msc5zh.jpg
"Букет ""Барселона""",/catalog/bukety/buket-barselona/,от 5 950 ₽,/upload/iblock/eb1/pp3bne4am7g0904vbee3nfz6q39837wv.jpg
"Букет невесты ""Бриз""",/catalog/bukety/buket-nevesty-briz/,от 3 000 ₽,/upload/iblock/003/2hskt5xcg2pddq4lt2f0g7q2rao0ix74.jpg
"Букет невесты ""Флирт""",/catalog/bukety/buket-nevesty-flirt/,от 5 000 ₽,/upload/iblock/6b6/iwe6g0h3j9hzb6btmjtofum6a2ybi133.jpg
"Букет ""Пламя""",/catalog/bukety/buket-plamya/,от 1 850 ₽,/upload/iblock/b4a/a36mu6pdwwx4erfx3ahc4o36b526152q.jpg
"Букет ""Белый стих""",/catalog/bukety/buket-belyy-stikh/,от 1 900 ₽,/upload/iblock/eaa/sc1p1i12i73vbyvcsc0b6988vfk3a7sj.jpg
"Букет ""Фиеста""",/catalog/bukety/buket-fiesta/,от 1 500 ₽,/upload/iblock/82d/7l1ys55ghpziq6bmvja4t2v3iti5rz6v.jpg
"Букет ""Сумерки""",/catalog/bukety/buket-sumerki/,от 1 700 ₽,/upload/iblock/877/no4y8ev59iab3hpdu1gz20kinwja2xj3.jpg
